Nome,Data,Hora,Endereço,Link
"BLOCO DO TIGRE",11/02/2024,09:00,"AVENIDA JEQUITINHONHA, 70, Vera Cruz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-tigre"
"BRÓCOLIS (BLOCO INFANTIL)",11/02/2024,09:00,"RUA BRAGANCA, 8, Coqueiros","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/brocolis-bloco-infantil"
"MINDINHO BATERIA MIRIM",11/02/2024,09:00,"RUA ADAMINA, 30, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/mindinho-bateria-mirim"
"BLOCO PACATO CIDADÃO",11/02/2024,09:00,"RUA DO URUGUAI, 1200, Sion","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pacato-cidadao"
"BLOCO DE PÍFANOS BH",11/02/2024,09:00,"RUA MARMORE, 285, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-de-pifanos-bh"
"BLOCO PROVE PRIMEIRO",11/02/2024,09:30,"RUA JACANA, 60, Providência","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-prove-primeiro"
"BLOCO DO BATIZA",11/02/2024,09:30,"RUA MARECHAL DEODORO, 210, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-batiza"
"BLOCO FILHOS DA PUC MG",11/02/2024,10:00,"AVENIDA GETULIO VARGAS, 792, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-filhos-da-puc-mg"
"BLOCO DO VÔ MANOEL DE ARUANDA",11/02/2024,10:00,"RUA EVARISTO DA VEIGA, 140, Senhor dos Passos","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-vo-manoel-de-aruanda-15567"
"BLOCO CILADA",11/02/2024,10:00,"RUA MANOEL DOS REIS, 115, Jaraguá","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-cilada"
"MAÇA DO AMOR",11/02/2024,10:00,"RUA FERNANDES TOURINHO, 529, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/maca-do-amor"
"BLOCO AFRO-PERIFÉRICO ORISAMBA",11/02/2024,10:00,"RUA ITAPECERICA, 468, Lagoinha","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-afro-periferico-orisamba-15851"
"BLOCO DU COCO",11/02/2024,10:00,"RUA FRANCISCO BICALHO, 2210, Caiçara-Adelaide","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-du-coco"
"BLOCO DO BATOM ROSA",11/02/2024,10:00,"RUA CACHOEIRA DOURADA, 83, Paraíso","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-batom-rosa"
"BETHÂNIA CUSTOSA",11/02/2024,10:00,"RUA ALAIR PEREIRA DE MELLO, 65, Betânia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bethania-custosa"
"TODO MUNDO CABE NO MUNDO",11/02/2024,10:30,"RUA PIAUI, 596, Santa Efigênia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/todo-mundo-cabe-no-mundo"
"BLOCO DU CHINA E GRUPO FANTASIA",11/02/2024,11:00,"RUA ITAMARATI, 986, Padre Eustáquio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-du-china-e-grupo-fantasia"
"CENARIO KIDS",11/02/2024,11:00,"RUA MICHEL JEHA, 178, São Bento","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/cenario-kids"
"BLOCO DO MAMÁ",11/02/2024,11:00,"RUA LIDIO LUNARDI, 71, Maria Virgínia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-mama"
"BLOCO DE RUA OS INOCENTES DE SANTA TEREZA",11/02/2024,11:30,"RUA MARMORE, 157, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-de-rua-os-inocentes-de-santa-tereza"
"LOCOMOTIVA",11/02/2024,12:00,"RUA ANTONIO PEIXOTO GUIMARAES, 585, Caiçara-Adelaide","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/locomotiva"
"BLOCO DO TI DIDI & TREME TERRA",11/02/2024,12:00,"RUA SENADOR LIMA GUIMARAES, 40, Buritis","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-ti-didi-and-treme-terra"
"PALCO ABERTO BH",11/02/2024,12:00,"RUA PIRITE, 117, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/palco-aberto-bh"
"BLOQUINHO DA TIA KIKA",11/02/2024,12:00,"RUA PIRANGUCU, 114, Conjunto Celso Machado","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquinho-da-tia-kika"
"BLOQUIM DUBEM",11/02/2024,12:00,"RUA PROFESSOR COSTA CHIABI, 211, Cidade Nova","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloquim-dubem"
"ABRE QUE TÔ PASSANÚ",11/02/2024,12:00,"RUA FRANCISCO DESLANDES, 1065, Anchieta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/abre-que-to-passanu"
"CARNAVOVÓ",11/02/2024,13:00,"RUA TENENTE MARINO FREIRE, 229, Maria Helena","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carnavovo"
"BLOCO PRAIANUS",11/02/2024,13:00,"AVENIDA SINFRONIO BROCHADO, 1457, Barreiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-praianus"
"BACKSTREET BLOCO",11/02/2024,13:00,"RUA OESTE, 618, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/backstreet-bloco"
"MICARETA DO ME GUSTA",11/02/2024,13:00,"RUA NILO APARECIDA PINTO, 373, Planalto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/micareta-do-me-gusta"
"BLOCO SHOW",11/02/2024,13:00,"RUA SANTA RITA DURAO, 1216, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-show"
"VEM KA VÊ",11/02/2024,13:00,"RUA INES GLANSMAN, 98, Ribeiro de Abreu","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/vem-ka-ve"
"AFOXÉ ILÊ ODARA",11/02/2024,13:00,"RUA SAO CLEMENTE, 1132, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/afoxe-ile-odara"
"UNIDOS DO SAMBA QUEIXINHO",11/02/2024,13:30,"PRACA DA LIBERDADE, 850, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-do-samba-queixinho"
"BLOCO DO BAILE DA SERRA",11/02/2024,14:00,"AVENIDA MEM DE SA, 1806, Vila Novo São Lucas","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-baile-da-serra"
"MICARETEIROS",11/02/2024,14:00,"AVENIDA GETULIO VARGAS, 800, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/micareteiros-15649"
"BLOCO AMIGOS DO BAZIN",11/02/2024,14:00,"RUA MINISTRO OROZIMBO NONATO, 1055, Dona Clara","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-amigos-do-bazin"
"BLOCO VOU ALI E VOLTO",11/02/2024,14:00,"PRACA TEJO, 34, Padre Eustáquio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-vou-ali-e-volto"
"BLOCO DO JILO",11/02/2024,14:00,"RUA CONTAGEM, 762, Boa Vista","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-jilo-16166"
"BLOCO DA FOFOCA-CARIMBÓ",11/02/2024,14:00,"AVENIDA DOS ANDRADAS, 841, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-fofoca-carimbo"
"BLOCO PIPIXO",11/02/2024,14:00,"PRACA JORGE ALVES, 33, Guarani","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pipixo"
"BLOCO DEMORÔ",11/02/2024,14:00,"AVENIDA MAGENTA, 558, Vitória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-demoro-15798"
"BLOCO DA LESTE",11/02/2024,14:00,"AVENIDA PETROLINA, 200, Sagrada Família","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-leste"
"HÉLICE",11/02/2024,14:00,"PRACA GERALDO TORRES, 779, Padre Eustáquio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/helice-16004"
"BLOCO FERVEÇÃO",11/02/2024,14:00,"RUA SERGIPE, 1208, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-fervecao"
"POINT DOS AMIGOS",11/02/2024,14:00,"AVENIDA CATULO DA PAIXAO CEARENSE, 136, Bairro das Indústrias I","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/point-dos-amigos"
"BATUQUE COLETIVO",11/02/2024,14:00,"PRACA CORONEL BENJAMIN GUIMARAES, 60, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/batuque-coletivo"
"null",11/02/2024,14:30,"RUA LUIZ BRANDAO, 830, Paraíso","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/cortejo-as-grandes-figuras"
"SENZALA",11/02/2024,15:00,"RUA TELAVIV, 11, Olaria","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/senzala"
"AFOXE BANDARERE",11/02/2024,15:00,"RUA GUANABARA, 231, Concórdia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/afoxe-bandarere"
"BLOCO DO BIGODE",11/02/2024,15:00,"RUA VINTE E CINCO DE AGOSTO, 399, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-bigode"
"BLOCO ELEGANZA",11/02/2024,15:00,"RUA ITAJUBA, 170, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-eleganza"
"ME LEVA FELICIDADE",11/02/2024,15:00,"RUA JUVENIL BARBOSA DA SILVA, 98, Jardim Felicidade","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-leva-felicidade"
"BLOCO ROLA CANSADA",11/02/2024,15:00,"RUA POUSO ALTO, 665, São Lucas","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-rola-cansada"
"MOVE BLOCO",11/02/2024,15:00,"RUA PAISSANDU, 30, Sagrada Família","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/move-bloco"
"AMIGOS DA PPL",11/02/2024,15:00,"RUA ARARIBA, 349, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/amigos-da-ppl"
"BLOCO VALETES",11/02/2024,15:00,"RUA RIO GRANDE DO NORTE, 505, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-valetes"
"BLOCO FURACÃO TREMBASE",11/02/2024,15:00,"RUA AQUILES LOBO, 180, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-furacao-trembase"
"BLOCO DA INSANIDADE",11/02/2024,16:00,"PRACA DA BANDEIRA, 174, Cruzeiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-insanidade"
"BLOCO VEJO FLORES EM VOCÊ",11/02/2024,16:00,"RUA LUIZ FURTADO FILHO, 291, Letícia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-vejo-flores-em-voce"
"MAMA ME OLHANDO",11/02/2024,16:00,"RUA DEPUTADO CLAUDIO PINHEIRO DE LIMA, 30, Glória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/mama-me-olhando"
"SAIBA VIVER",11/02/2024,16:00,"RUA GONCALVES DIAS, 1440, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/saiba-viver"
"BLOCO UNIDOS DA BEIRA LINHA",11/02/2024,16:00,"RUA ANTONIO MARIANO DE ABREU, 288, Paulo VI","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-unidos-da-beira-linha"
"UNIDOS PELO MELHOR",11/02/2024,17:00,"RUA ELISIO DE BRITO, 950, São Geraldo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-pelo-melhor"
"BLOCO MACACO MALUCO",12/02/2024,08:00,"AVENIDA JOAO PINHEIRO, 232, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-macaco-maluco"
"HAVAYANAS USADAS",12/02/2024,09:00,"AVENIDA DOS ANDRADAS, 3700, Pompéia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/havayanas-usadas"
"BLOCO CORTE DEVASSA",12/02/2024,09:00,"RUA SAPUCAI, 571, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-corte-devassa"
"BAIANAS OZADAS",12/02/2024,09:00,"AVENIDA AFONSO PENA, 601, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/baianas-ozadas"
"BLOCO DA BIA",12/02/2024,09:00,"AVENIDA GUARAPARI, 1360, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-bia"
"TROPICALIZE",12/02/2024,09:00,"RUA DOS TIMBIRAS, 725, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/tropicalize"
"EBBLOCO",12/02/2024,09:30,"RUA VICENTE RISOLA, 11, Santa Inês","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ebbloco"
"BLOCO XIBIUZINHO",12/02/2024,09:30,"AVENIDA DOS ENGENHEIROS, 718, Castelo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-xibiuzinho"
"DAQUELE JEITO",12/02/2024,10:00,"AVENIDA ALVARES CABRAL, 352, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/daquele-jeito"
"BELORINHO AXÉ RETRÔ",12/02/2024,10:00,"RUA FERNANDES TOURINHO, 253, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/belorinho-axe-retro"
"BLOCO NAO ACREDITO QUE TE BEIJEI UAI",12/02/2024,10:30,"AVENIDA SINFRONIO BROCHADO, 1237, Barreiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-nao-acredito-que-te-beijei-uai"
"BOM BLOQUIU",12/02/2024,11:00,"PRACA DA BANDEIRA, 174, Cruzeiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bom-bloquiu"
"DEMORÔ KIDS",12/02/2024,11:00,"AVENIDA MAGENTA, 571, Vitória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/demoro-kids"
"UNIDOS DO BARRO PRETO",12/02/2024,11:00,"AVENIDA AUGUSTO DE LIMA, 1868, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-do-barro-preto"
"SOU BALCONEIRO SIM (QUEM QUISER VEM ATRAS DE MIM)",12/02/2024,11:00,"RUA FRANCISCO BICALHO, 1825, Caiçara-Adelaide","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/sou-balconeiro-sim-quem-quiser-vem-atras-de-mim"
"ÔÔÔ GLÓRIA",12/02/2024,12:00,"RUA JOAO RAMALHO, 286, Glória","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/ooo-gloria"
"UNIDOS DE SÃO VICENTE",12/02/2024,12:00,"PRACA PAULO SIGAUD, 23, Calafate","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/unidos-de-sao-vicente-15743"
"XEQUE - BAILE",12/02/2024,12:00,"RUA SANTA RITA DURAO, 1263, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/xeque-baile"
"BLOCO ALALAOR",12/02/2024,12:00,"RUA PIROLOZITO, 7, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-alalaor"
"BLOCO PÉ VERMEI",12/02/2024,13:00,"AVENIDA BUENO SIQUEIRA, 88, Santa Rosa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pe-vermei"
"COLETIVO ERÊS: SAMBA DE COCO COQUISTAS DE TIA TOINHA E AFOXÉ ERÊS – MENSAGEIRAS DOS VENTOS",12/02/2024,13:00,"RUA IGUASSU, 540, Concórdia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/coletivo-eres-samba-de-coco-coquistas-de-tia-toinha-e-afoxe-eres-mensageiras-dos-ventos"
"QUINTAL DA DONA INÊS",12/02/2024,13:00,"RUA HORTENCIA, 741, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/quintal-da-dona-ines"
"BLOCO LIBERDADE E ÁGUA LIMPA",12/02/2024,13:00,"RUA DOS OTONI, 69, Santa Efigênia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-liberdade-e-agua-limpa-16249"
"BLOCO DOS SUPER HERÓIS",12/02/2024,13:00,"RUA ARAGUARI, 1515, Santo Agostinho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-dos-super-herois"
"MARIA PRETINHA",12/02/2024,13:00,"AVENIDA GENERAL OLIMPIO MOURAO FILHO, 592, Itapoã","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/maria-pretinha"
"TREM NA CABEÇA",12/02/2024,13:00,"AVENIDA BERNARDO MONTEIRO, 1586, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/trem-na-cabeca-15947"
"BLOCO DA CINARA",12/02/2024,13:00,"RUA MARMORE, 161, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-cinara"
"HÉLICE",12/02/2024,14:00,"PRACA GERALDO TORRES, 779, Padre Eustáquio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/helice-16005"
"PIPICHO",12/02/2024,14:00,"RUA SAI, 322, Graça","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/pipicho"
"TIMBALEIROS DO GHETTO E MULHERES TIMBALEIRAS",12/02/2024,14:00,"RUA AARAO REIS, 534, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/timbaleiros-do-ghetto-e-mulheres-timbaleiras"
"CORPO INDECENTE",12/02/2024,14:00,"AVENIDA JOAO PINHEIRO, 639, Boa Viagem","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/corpo-indecente"
"LEGIÃO OESTE CITY",12/02/2024,14:00,"RUA JOAQUIM NABUCO, 175, Nova Suissa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/legiao-oeste-city"
"TROPA",12/02/2024,14:00,"RUA SANTA RITA DURAO, 1216, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/tropa"
"EU AMO MACACOS",12/02/2024,14:00,"RUA BRAZOPOLIS, 306, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/eu-amo-macacos"
"BLOCO LÁ VEM O NEGÃO",12/02/2024,14:00,"RUA DOS INCONFIDENTES, 855, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-la-vem-o-negao"
"BLOCO ME DEIXE",12/02/2024,14:00,"AVENIDA GETULIO VARGAS, 1517, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-me-deixe"
"BLOCO UAI SÔ!",12/02/2024,14:00,"AVENIDA GUARAPARI, 1289, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-uai-so"
"BELÔ AFRÔ",12/02/2024,14:00,"RUA FERNANDES TOURINHO, 503, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/belo-afro"
"BLOCO DO FRAJOLA",12/02/2024,14:30,"RUA MAURA, 324, União","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-frajola"
"BLOCO DA JUJU PAULINE",12/02/2024,14:30,"PRACA JORGE ALVES, 33, Guarani","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-juju-pauline"
"BLOCO AND ROLL",12/02/2024,15:00,"AVENIDA AUGUSTO DE LIMA, 1600, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-and-roll"
"O LEÃO DA LAGOINHA",12/02/2024,15:00,"RUA ITAPECERICA, 962, Lagoinha","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/o-leao-da-lagoinha"
"BLOCO SOU VERMELHO",12/02/2024,15:00,"AVENIDA ALVARES CABRAL, 344, Lourdes","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-sou-vermelho"
"BLOCO RASTAXÉ",12/02/2024,15:00,"PRACA SANTA RITA, 131, Esplanada","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-rastaxe-15590"
"AXÉ RETRO DO MARAO",12/02/2024,15:30,"RUA PEDRO SIGAUD, 360, Grajaú","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/axe-retro-do-marao"
"ARRASTÃO ELETRÔNICO",12/02/2024,15:30,"AVENIDA DOS ANDRADAS, 841, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/arrastao-eletronico"
"SALVEOVERDE",12/02/2024,15:30,"RUA MARTIM FRANCISCO ANDRADA, 138, Mineirão","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/salveoverde"
"NISSÃO FOLIA",12/02/2024,16:00,"RUA BERNARDO FERREIRA DA CRUZ, 25, Venda Nova","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/nissao-folia"
"CONEXÃO AFRICAN BEAT",12/02/2024,16:00,"PRACA DA LIBERDADE, 95, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/conexao-african-beat-15859"
"BLOCO DA HORNY",12/02/2024,16:00,"RUA SAPUCAI, 571, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-horny"
"BLOCO LOVE/PARANOIA",12/02/2024,16:00,"PRACA COMENDADOR NEGRAO DE LIMA, 60, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-love-paranoia"
"BLOCO CIRCULOU BH",12/02/2024,16:00,"AVENIDA DOS ENGENHEIROS, 670, Castelo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-circulou-bh-16087"
"BLOCO CIRCULOU BH",13/02/2024,08:00,"AVENIDA DOS ENGENHEIROS, 826, Castelo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-circulou-bh-16088"
"BLOCO KEBRAE",13/02/2024,09:00,"RUA SERGIPE, 811, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-kebrae"
"BLOCO DO ODILARA",13/02/2024,09:00,"RUA MARMORE, 179, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-odilara"
"TRUCK DO DESEJO",13/02/2024,09:00,"AVENIDA BRASIL, 1200, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/truck-do-desejo"
"BLOCO MAGNÓLIA",13/02/2024,09:00,"AVENIDA AMERICO VESPUCIO, 2025, Nova Esperança","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-magnolia"
"CHOCOLATES ARTE MANIA",13/02/2024,09:00,"RUA SAPUCAI, 571, Floresta","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/chocolates-arte-mania"
"BORA PRO NOBIS",13/02/2024,09:00,"AVENIDA DOS BANDEIRANTES, 1066, Comiteco","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bora-pro-nobis"
"BLOCO COCO DA GENTE",13/02/2024,09:00,"RUA AMETISTA, 178, Vila Dias","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-coco-da-gente"
"BLOCO FITA AMARELA",13/02/2024,09:00,"AVENIDA PETROLINA, 195, Sagrada Família","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-fita-amarela"
"BLOCO DO VÔ MANOEL DE ARUANDA",13/02/2024,10:00,"RUA EVARISTO DA VEIGA, 140, Senhor dos Passos","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-vo-manoel-de-aruanda-15584"
"BLOCO PUTZ GRILLA",13/02/2024,10:00,"AVENIDA GETULIO VARGAS, 1657, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-putz-grilla"
"BLOCO CHEGA O REI",13/02/2024,10:00,"RUA FREI CONCEICAO VELOSO, 213, João Pinheiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-chega-o-rei"
"BLOCO FURIA LATINA (ANTIGO BLOCO DUROCK)",13/02/2024,10:00,"AVENIDA CRISTOVAO COLOMBO, 571, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-furia-latina-antigo-bloco-durock-16204"
"BATA.TERIA",13/02/2024,11:30,"RUA FERNAO DIAS, 1103, Alto Vera Cruz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bata-teria"
