Nome,Data,Hora,Endereço,Link
"MOVAT BH",28/01/2024,14:00,"RUA RIO DE JANEIRO, 700, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/movat-bh"
"AXE DE LÁ 90",28/01/2024,14:00,"AVENIDA GUARAPARI, 1245, Santa Amélia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/axe-de-la-90-15890"
"BRÓKIO DO XAI-XAI",28/01/2024,14:00,"RUA SANTA RITA DURAO, 1216, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/brokio-do-xai-xai"
"BLOCO POPULAR",28/01/2024,15:00,"RUA CARATIA, 110, Aparecida","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-popular"
"BLOCO GOIANEIROS",28/01/2024,16:00,"AVENIDA CLARA NUNES, 150, Renascença","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-goianeiros"
"BLOCO DE CARNAVAL 7LC",28/01/2024,17:00,"RUA SILVA ALVARENGA, 9750, São Geraldo","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-de-carnaval-7lc"
"ABAFRO-MG ASSOCIAÇÃO DE BLOCOS AFROS DE MINAS GERAIS",02/02/2024,14:00,"PRACA ALBERTO DALVA SIMAO, 150, São Luíz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/abafro-mg-associacao-de-blocos-afros-de-minas-gerais"
"BLOCO DA MIROCA",02/02/2024,15:00,"RUA CORONEL FULGENCIO, 196, São Lucas","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-miroca"
"BLOCO NA CADÊNCIA DO SAMBA",02/02/2024,17:00,"RUA SENHORA DA CONCEICAO, 931, Cachoeirinha","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-na-cadencia-do-samba"
"ABRE TE SÉSAMO",02/02/2024,19:00,"AVENIDA AFONSO PENA, 378, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/abre-te-sesamo"
"FLOR & AMAR",02/02/2024,19:00,"RUA DOS IMBIRAS, 267, Floramar","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/flor-and-amar"
"FRUTO PROIBIDO",03/02/2024,08:00,"RUA CONSELHEIRO ROCHA, 41, Vila Dias","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/fruto-proibido"
"ANDACUNFÉ",03/02/2024,09:00,"RUA PIRITE, 95, Santa Tereza","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/andacunfe"
"BLOCO FERA NENÉM",03/02/2024,09:00,"RUA DOS DOMINICANOS, 44, Serra","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-fera-nenem"
"AURORA PELADA",03/02/2024,09:00,"RUA MADRE CANDIDA, 10, Coração de Jesus","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/aurora-pelada"
"BLOCO DO COPO CHEIO",03/02/2024,09:00,"PRACA NOVA YORK, 18, Sion","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-copo-cheio"
"BLOCO DA FAMÍLIA",03/02/2024,09:00,"RUA OUTONO, 559, Cruzeiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-da-familia"
"ME BEIJA QUE EU VIRO PRÍNCIPE",03/02/2024,09:00,"ALAMEDA DAS FALCATAS, 17, São Luíz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/me-beija-que-eu-viro-principe"
